date,store_id,cat_id,units,avg_price,snap,is_event,wday,month,year,units_lag1,units_lag7,units_lag14,units_lag28,units_lag365
2011-01-29,CA_1,FOODS,3239,3.1492198,0,0,1,1,2011,,,,,
2011-01-30,CA_1,FOODS,3137,3.1492198,0,0,2,1,2011,3239.0,,,,
2011-01-31,CA_1,FOODS,2008,3.1492198,0,0,3,1,2011,3137.0,,,,
2011-02-01,CA_1,FOODS,2258,3.1492198,1,0,4,2,2011,2008.0,,,,
2011-02-02,CA_1,FOODS,2032,3.1492198,1,0,5,2,2011,2258.0,,,,
2011-02-03,CA_1,FOODS,2407,3.1492198,1,0,6,2,2011,2032.0,,,,
2011-02-04,CA_1,FOODS,2693,3.1492198,1,0,7,2,2011,2407.0,,,,
2011-02-05,CA_1,FOODS,3962,3.1533935,1,0,1,2,2011,2693.0,3239.0,,,
2011-02-06,CA_1,FOODS,3418,3.1533935,1,1,2,2,2011,3962.0,3137.0,,,
2011-02-07,CA_1,FOODS,2446,3.1533935,1,0,3,2,2011,3418.0,2008.0,,,
2011-02-08,CA_1,FOODS,2138,3.1533935,1,0,4,2,2011,2446.0,2258.0,,,
2011-02-09,CA_1,FOODS,2001,3.1533935,1,0,5,2,2011,2138.0,2032.0,,,
2011-02-10,CA_1,FOODS,2137,3.1533935,1,0,6,2,2011,2001.0,2407.0,,,
2011-02-11,CA_1,FOODS,2217,3.1533935,0,0,7,2,2011,2137.0,2693.0,,,
2011-02-12,CA_1,FOODS,3067,3.1296296,0,0,1,2,2011,2217.0,3962.0,3239.0,,
2011-02-13,CA_1,FOODS,3313,3.1296296,0,0,2,2,2011,3067.0,3418.0,3137.0,,
2011-02-14,CA_1,FOODS,2003,3.1296296,0,1,3,2,2011,3313.0,2446.0,2008.0,,
2011-02-15,CA_1,FOODS,1779,3.1296296,0,0,4,2,2011,2003.0,2138.0,2258.0,,
2011-02-16,CA_1,FOODS,1670,3.1296296,0,0,5,2,2011,1779.0,2001.0,2032.0,,
2011-02-17,CA_1,FOODS,1433,3.1296296,0,0,6,2,2011,1670.0,2137.0,2407.0,,
2011-02-18,CA_1,FOODS,2250,3.1296296,0,0,7,2,2011,1433.0,2217.0,2693.0,,
2011-02-19,CA_1,FOODS,3148,3.1232116,0,0,1,2,2011,2250.0,3067.0,3962.0,,
2011-02-20,CA_1,FOODS,2864,3.1232116,0,0,2,2,2011,3148.0,3313.0,3418.0,,
2011-02-21,CA_1,FOODS,2105,3.1232116,0,1,3,2,2011,2864.0,2003.0,2446.0,,
2011-02-22,CA_1,FOODS,1621,3.1232116,0,0,4,2,2011,2105.0,1779.0,2138.0,,
2011-02-23,CA_1,FOODS,1608,3.1232116,0,0,5,2,2011,1621.0,1670.0,2001.0,,
2011-02-24,CA_1,FOODS,1639,3.1232116,0,0,6,2,2011,1608.0,1433.0,2137.0,,
2011-02-25,CA_1,FOODS,1875,3.1232116,0,0,7,2,2011,1639.0,2250.0,2217.0,,
2011-02-26,CA_1,FOODS,2574,3.125868,0,0,1,2,2011,1875.0,3148.0,3067.0,3239.0,
2011-02-27,CA_1,FOODS,2733,3.125868,0,0,2,2,2011,2574.0,2864.0,3313.0,3137.0,
2011-02-28,CA_1,FOODS,1732,3.125868,0,0,3,2,2011,2733.0,2105.0,2003.0,2008.0,
2011-03-01,CA_1,FOODS,1896,3.125868,1,0,4,3,2011,1732.0,1621.0,1779.0,2258.0,
2011-03-02,CA_1,FOODS,1965,3.125868,1,0,5,3,2011,1896.0,1608.0,1670.0,2032.0,
2011-03-03,CA_1,FOODS,1984,3.125868,1,0,6,3,2011,1965.0,1639.0,1433.0,2407.0,
2011-03-04,CA_1,FOODS,2369,3.125868,1,0,7,3,2011,1984.0,1875.0,2250.0,2693.0,
2011-03-05,CA_1,FOODS,3223,3.1110225,1,0,1,3,2011,2369.0,2574.0,3148.0,3962.0,
