week_start,orders,units,revenue_index,merch_index,shipping_index
2018-01-01,6,6,57.73,48.2,9.53
2018-01-08,3,5,24.01,22.7,1.31
2018-01-15,3,3,28.46,27.07,1.39
2018-01-22,1,1,9.37,8.66,0.72
2018-01-29,7,9,64.48,55.9,8.58
2018-02-05,3,9,21.69,20.02,1.67
2018-02-12,4,5,41.97,37.09,4.89
2018-02-19,3,7,41.05,33.94,7.68
2018-02-26,3,7,50.52,42.16,9.09
2018-03-05,2,12,10.91,8.95,1.96
2018-03-12,1,2,9.23,9.23,0.0
2018-03-19,7,13,70.7,59.82,10.88
2018-03-26,1,2,10.12,8.07,2.04
2018-04-02,2,2,33.84,30.27,4.29
2018-04-09,7,17,98.05,86.86,11.19
2018-04-16,1,1,9.34,8.37,0.97
2018-04-23,1,1,11.17,9.02,2.15
2018-04-30,2,3,28.64,25.97,2.67
2018-05-07,2,3,43.6,37.98,5.62
2018-05-14,1,1,12.65,10.11,2.54
2018-05-21,3,12,18.75,16.37,2.39
2018-05-28,6,7,58.63,51.78,6.85
2018-06-04,2,2,8.65,8.65,0.0
2018-06-11,1,2,10.05,9.09,0.96
2018-06-18,0,0,0.0,0.0,0.0
2018-06-25,4,4,40.96,33.17,7.79
2018-07-02,2,2,9.41,7.27,2.14
2018-07-09,6,6,76.26,69.8,6.46
2018-07-16,3,3,60.67,57.78,2.9
2018-07-23,4,4,36.28,30.7,5.58
2018-07-30,1,2,9.99,8.73,1.26
2018-08-06,1,2,11.55,10.04,1.51
2018-08-13,1,3,9.23,8.58,0.64
2018-08-20,1,2,13.26,11.13,2.13
2018-08-27,1,1,13.41,12.15,1.26
2018-09-03,3,4,46.95,40.82,6.13
2018-09-10,3,3,30.65,25.03,5.63
2018-09-17,2,2,17.58,13.75,3.83
2018-09-24,2,2,17.55,14.04,3.51
2018-10-01,2,2,22.86,19.72,3.14
2018-10-08,3,4,41.01,36.52,4.49
2018-10-15,0,0,0.0,0.0,0.0
2018-10-22,3,4,30.79,27.65,3.15
2018-10-29,2,5,21.98,18.84,3.14
2018-11-05,1,1,10.41,8.88,1.54
2018-11-12,3,3,27.73,24.08,3.65
